smiles_list,monomer_ID,replicate_count,heavy_atom_count,self-diffusion,self-diffusion_std,self-diffusion_count,self-diffusion_raw
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI999,3,55,-0.9118801868300935,6.757105980480038e-14,3,2.350689049931338e-13
*c1ccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5cccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c5)cc4)cc3C2=O)cc1,PI1079,4,45,-0.6400038013803818,2.515509766100628e-13,4,3.61286597146842e-13
*CC(*)c1ccc(C(O)CCN(C)C)cc1,PI144,2,15,0.3989314166292471,3.8190826763981375e-13,2,8.43608757261922e-13
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,PI961,4,58,-0.6743037664587592,3.921190802471805e-13,4,3.4536295440021457e-13
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1051,4,72,0.5372531756427344,7.281882635049174e-13,4,9.078241659243747e-13
*CC(*)CC1CCCCC1,PI25,1,9,-0.679391869168737,0.0,1,3.43000819930786e-13
*CC(*)c1ccc(C(=O)CCCCC)cc1,PI170,1,15,1.6952107658002529,0.0,1,1.445402059641758e-12
*CC(*)OCC(C)(C)CC,PI316,1,9,1.0031205859250945,0.0,1,1.1241015350610936e-12
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,PI1104,2,36,-0.3578873171439969,6.129376809522736e-13,2,4.92258220518747e-13
*CC(*)c1c(C)cc(C)cc1C,PI210,1,11,0.6182296043316234,0.0,1,9.45417198989953e-13
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,PI223,1,14,0.4230603671263955,0.0,1,8.548105408990097e-13
*CC(*)C(=O)c1ccc(CC)cc1,PI325,1,12,-0.1531036453779671,0.0,1,5.873283473277253e-13
*CC(*)c1ccc(Br)cc1,PI136,1,9,-1.3628502564942633,0.0,1,2.570757583887034e-14
*CC(*)OC(=O)c1ccccc1OC,PI357,3,13,0.08832186818822058,4.716274044680622e-13,3,6.994093252285601e-13
*CC(*)c1cccc2ccccc12,PI217,2,12,-0.3920509645964643,5.3967829535765e-14,2,4.763978627687689e-13
*c1cccc(Oc2cccc(Oc3cccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)c3)c2)c1,PI962,5,36,-0.7873670028920413,8.885841356537626e-14,5,2.928737293929272e-13
*CC(*)C(=O)c1ccc(OC)cc1,PI327,1,12,1.3383733960982125,0.0,1,1.2797415179823873e-12
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,PI435,1,15,-0.17933504280563956,0.0,1,5.751505098159789e-13
*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,PI995,5,53,-1.1009045348243816,8.03953518508535e-14,5,1.4731499092945193e-13
*CC(CCl)O*,PI526,1,5,-0.4676434406779941,0.0,1,4.41304311486582e-13
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,-0.21357612308740082,0.0,1,5.59254204136966e-13
*CC(*)OC(=O)c1ccccc1OC(C)=O,PI331,2,15,0.09897482837119098,1.2506445629073468e-13,2,7.043549259532268e-13
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,PI395,1,17,-0.7796906356284017,0.0,1,2.9643745692497533e-13
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(*)cc5C4=O)c(C)c3)cc1C)C2=O,PI1069,5,41,-1.076368480904433,2.680664666157477e-13,5,1.587057709532936e-13
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(C(c3cc(C)c(N4C(=O)c5ccc(*)cc5C4=O)c(C)c3)c3cccc4ccccc34)cc1C)C2=O,PI1002,5,51,-0.6869334460835735,2.383449097820231e-13,5,3.3949966836215733e-13
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(-c3ccccc3)c2)cc1,PI1036,1,48,-0.20417521393267357,0.0,1,5.636185444076138e-13
*OC(C)COC(*)=O,PI1116,2,7,-0.5310132280943972,4.5650525541119163e-14,2,4.1188510206631794e-13
*CC(*)C=C,PI521,2,4,0.6184330324115536,1.3908268341406946e-13,2,9.455116397878382e-13
*CC(*)c1ccccc1C(=O)OCCC(C)C,PI105,2,16,0.04362967066527135,1.3558897991777367e-13,2,6.786611237277434e-13
*CC(*)c1ccc(CCCCCCCCCC)cc1,PI127,2,18,1.8931191204879656,3.781324458105686e-13,2,1.5372803437571727e-12
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,0.002322680438770087,0.0,1,6.594844932617292e-13
*CC(*)c1ccccc1COCC,PI86,1,12,-0.671990770693579,0.0,1,3.4643675485904974e-13
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,-0.839188144718606,1.9310324074224996e-13,5,2.688159396172542e-13
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(*)=O)cc2)cc1,PI586,1,30,0.8970598709696449,0.0,1,1.0748632069594968e-12
*CC(*)OC(=O)c1ccncc1,PI354,2,11,0.09410694634080428,2.2736947785498884e-13,2,7.020950281892647e-13
*C=CC1CCC(*)C1,PI75,1,7,0.40634772749367937,0.0,1,8.470517544904409e-13
*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCCCCCCCCCC8)cc7)cc6C5=O)cc4)cc3C)c(C)c2)cc1,PI1042,1,76,-1.2548048529831441,0.0,1,7.586728888799085e-14
*CC(*)OC(C)=O,PI259,2,6,-0.4531693026190162,9.091366009884962e-14,2,4.480238811126695e-13
*CC/C=C(\*)C(C)(C)C,PI81,1,8,-0.5189305978256169,0.0,1,4.174944222915718e-13
