smiles_list,monomer_ID,replicate_count,heavy_atom_count,nematic_order_parameter,nematic_order_parameter_std,nematic_order_parameter_count,nematic_order_parameter_raw
*CC(*)c1ccncc1,PI226,1,8,-0.9685880609720707,0.0,1,0.0288811385042017
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,0.577270003722506,0.0,1,0.0651517204193051
*CC(*)N1CCCC1=O,PI408,1,8,-0.9013561135163906,0.0,1,0.0304586066516315
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,PI365,2,13,-0.2366435517160474,0.010094858607250198,2,0.046054806570245
*c1ccc(-c2ccc(Oc3ccc(C4(C)CC(C)(C)c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc54)cc3)c(C(F)(F)F)c2)cc1,PI1101,2,75,1.4236206866555206,0.0024493144242937036,2,0.0850097089858626
*CC(*)c1ccc(Cl)c(F)c1,PI209,2,10,-0.7446715161698141,0.008246343342295303,2,0.03413490892846235
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,PI311,1,13,-0.6522983045276426,0.0,1,0.0363022684138822
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,PI428,1,15,0.14478545345124033,0.0,1,0.0550043034824663
*CC(*)c1c(C)cc(C)cc1C,PI210,1,11,-0.8513334356956193,0.0,1,0.0316322924349182
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(-c3ccccc3)c2)cc1,PI1036,1,48,1.0247663851713862,0.0,1,0.0756513610595089
*CC(CCl)O*,PI526,1,5,-1.4374584443279734,0.0,1,0.0178799980790384
*CC(*)C(=O)C(C)(C)C,PI299,1,8,-0.44119830744940297,0.0,1,0.0412553232325451
*CC(*)(C)c1ccccc1,PI213,1,9,-0.6882335407041564,0.0,1,0.0354591173140842
*CC(*)c1nc(C)nc(C)n1,PI383,1,10,-0.24365333738532519,0.0,1,0.0458903354514977
*CC(*)c1ccccc1COC,PI85,2,11,-0.23326940471259944,0.00543025291850624,2,0.0461339744305274
*C(F)(F)C(*)(F)OC(F)(F)F,PI315,2,10,-0.8715443121193549,0.013537813286574824,2,0.031158083149056
*CC(*)c1ccc(COCCCCCC)cc1,PI153,1,16,-0.5731258267786793,0.0,1,0.038159898105249
*CC(*)c1cccs1,PI373,1,7,-0.598920504084699,0.0,1,0.0375546756869887
*CC(*)c1ccc(C(=O)CCCCC)cc1,PI170,1,15,0.8140857043167627,0.0,1,0.0707081446883622
*c1cccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(*)C5=O)cc3C2=O)c1,PI1103,1,28,-0.010865884099937731,0.0,1,0.0513522446565088
*Oc1c(C)cc(C(C)(C)c2cc(C)c(ON3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(C(C)(C)C)CC6)cc5)cc4C3=O)c(C)c2)cc1C,PI1012,4,67,1.7521949930898966,0.012487812563368797,4,0.0927190721990247
*CC(*)OC(=O)c1cccc(C)c1,PI361,1,12,-0.35757123180327866,0.0,1,0.0432174714832919
*/C=C/C(C*)OC,PI279,3,6,-1.1058044719824132,0.010138221954400875,3,0.0256616197208712
*CC(*)c1cc(C)ccc1C,PI192,1,10,-0.3116052773777541,0.0,1,0.0442959740660153
*CCC=C(*)C,PI522,1,5,-1.2564112532764582,0.0,1,0.0221279216908551
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,-0.6057683842079081,0.0,1,0.0373940033700236
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,PI424,2,21,2.087379178313222,0.014624168475100655,2,0.1005835234862726
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccccc6Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1072,5,58,0.20119298259281082,0.021372926914579562,5,0.056327797503738
*CC(*)c1ccccc1C,PI83,1,9,-0.26007361686948166,0.0,1,0.0455050652215192
*CC(*)CCC1CCCCC1,PI42,1,10,0.1478261704983539,0.0,1,0.0550756480510634
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,PI216,2,16,-0.48869155647467466,0.018806044568009918,2,0.040140985623855346
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,PI598,1,32,-0.46252896357223183,0.0,1,0.0407548404729207
*CC(*)c1ccccc1C(=O)N(C)C,PI95,1,13,-0.5228876152647567,0.0,1,0.0393386409714927
*CC(*)c1c(F)c(F)c(F)c(F)c1F,PI212,1,13,-0.5451734122795067,0.0,1,0.0388157476705954
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1054,5,64,1.4754996499361381,0.020529898542891348,5,0.0862269489319582
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(*)C(=O)C6C5C4=O)cc3)cc2)cc1,PI1067,3,36,0.006707715096979577,0.030719229969339568,3,0.0517645753120667
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,1.487567404523812,0.0,1,0.0865100955489085
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc2)cc1,PI983,1,60,0.6729727591188676,0.0,1,0.0673972012356766
*CC(*)(C)C(=O)OC(C)(C)C,PI444,1,10,0.46278781321365753,0.0,1,0.0624656163302521
*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7cccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)c7)cc6C5=O)cc4)cc3)cc2)cc1,PI1038,3,56,0.829082173063564,0.019810735483663237,3,0.0710600079418787
*CCCC(*)(C)C,PI17,1,6,-1.0070180771540342,0.0,1,0.0279794521969261
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,PI366,3,13,0.06561857596685082,0.010301316546426628,3,0.0531468051905207
*c1ccc(Oc2c(C)cc(C(c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)c3cccc4ccccc34)cc2C)cc1,PI1005,5,63,2.7871246721277467,0.033904925301544646,5,0.1170017036754989
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2-c2ccccc2)cc1,PI1031,2,42,-0.0013032804920373676,0.013292919732376727,2,0.05157661273104515
*C(O)C(*)O,PI305,2,4,-0.9434284819115023,0.01318505599144878,2,0.029471459565434552
*CC(*)c1ccc(Br)cc1,PI136,1,9,-0.2495796153126525,0.0,1,0.0457512867549039
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],PI396,1,16,-1.0198275394944483,0.0,1,0.027678902836207
*CC(*)C(C)C,PI5,3,5,-1.2534828556879243,0.0054221053725227175,3,0.0221966308997021
*CC(*)CC(C)(C)C,PI39,1,7,-0.9978436483286244,0.0,1,0.0281947124978788
*CC(*)c1ccc(C(O)CCN(C)C)cc1,PI144,2,15,0.23156907263100981,0.016267847668476637,2,0.0570405139472161
*CC(*)CCCCCCCCC,PI64,3,11,1.5450834053908178,0.03077078050051758,3,0.0878595977241215
*CC(*)C1CCCCC1,PI24,1,8,-0.05333248156670845,0.0,1,0.0503558477444944
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-0.24422796575009312,0.016251497053512528,5,0.0458768529037457
*CC(*)OC(=O)c1ccncc1,PI354,2,11,-0.8037043837928671,0.01242496886760184,2,0.0327498163965497
*CC(*)OC(=O)CC(C)(C)c1ccccc1,PI363,1,15,0.8074102118855718,0.0,1,0.0705515171165437
*CCC=C(*)CCCCCCC,PI68,2,11,1.1342246876915778,0.0009939569941142025,2,0.07821958929372985
*CC(*)C(N)=O,PI455,1,5,-1.1832501325847344,0.0,1,0.0238445064677209
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,PI1010,5,40,0.22461049225507929,0.011015415382534666,5,0.0568772442620475
*CC(*)OCCCCCCCCCCCCCCCCCC,PI402,1,21,-0.20510303005251823,0.0,1,0.0467948441589276
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,PI800,1,21,0.39274310053662276,0.0,1,0.0608221520647445
*/C=C/CCC*,PI58,1,5,-0.5731416533415057,0.0,1,0.0381595267654368
*CC(*)N1CCNC1,PI400,3,7,-0.9352322248842485,0.005157484857442808,3,0.0296637689492608
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,-0.19062870120975078,0.005904996858985132,2,0.04713445640532195
*Oc1ccc(OC(=O)c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1C,PI582,2,25,2.4230571014548614,0.036628175426942425,2,0.10845955938275456
*CC(*)CCCCCCCCCCCC,PI32,2,14,1.4105313180617602,0.008906309618796819,2,0.0847025921640535
*CC(*)c1ccccc1C(=O)OCCC(C)C,PI105,2,16,-0.4996823378205842,0.012196440103498997,2,0.0398831081095982
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O,PI1049,5,55,0.6139997169959195,0.01896662646056373,5,0.0660135123938903
*CC(OC)C1C(=O)OC(=O)C1*,PI387,2,11,-1.1074374842820072,0.01697701621117466,2,0.02562330423270735
*C(F)(F)C(*)(F)F,PI513,1,6,-0.706835465640204,0.0,1,0.0350226589757795
*CC(*)c1ccccc1C(=O)OCCCCC,PI104,1,16,0.13076920380773807,0.0,1,0.054675439182148
*CC(*)OC(=O)CC1CCCCC1,PI341,2,12,-0.753990632822193,0.006951857834055684,2,0.033916253806342
*CC(*)c1ccc(COC(C)CC)cc1,PI152,1,14,-0.47672260509106656,0.0,1,0.0404218140139332
*C=CC(C)C(*)C(=O)OC,PI268,2,9,-0.37514531412794494,0.0026592021270277996,2,0.04280512949207195
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,0.32909548373095543,0.0,1,0.059328783332016
*CC(*)(C)C(=O)OCc1ccccc1Cl,PI452,1,14,0.3197108354725658,0.0,1,0.0591085906369851
*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCCCCCCCCCC8)cc7)cc6C5=O)cc4)cc3C)c(C)c2)cc1,PI1042,1,76,3.102313025079877,0.0,1,0.1243969912737141
*CC(*)c1ccccc1C(=O)OCCCC,PI102,1,15,0.26762705925484287,0.0,1,0.0578865451498232
*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,PI467,3,15,0.9079352414252441,0.018221428894066517,3,0.0729101433072071
