smiles_list,monomer_ID,replicate_count,heavy_atom_count,thermal_conductivity,thermal_conductivity_std,thermal_conductivity_count,thermal_conductivity_raw
*CC(*)c1ccc2ccccc2c1,PI225,2,12,-0.9825120584691015,0.0013056880478985624,2,0.1778320484341319
*CC(CCl)O*,PI526,1,5,-1.3207017356317876,0.0,1,0.1598655471361931
*CC(*)c1ccc(C(C)CC)cc1,PI123,1,12,0.07003702812462755,0.0,1,0.2337492623747974
*Oc1ccc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3)cc2c1,PI816,1,24,0.9273332272139209,0.0,1,0.2792935658049886
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1106,1,42,-1.0814089714613804,0.0,1,0.1725780988442301
*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc1C)C2=O,PI974,5,38,-1.4527724693529067,0.011535768635031321,5,0.1528492211834682
*CC(*)c1ccccc1COCCC,PI87,2,13,-0.031961268244438255,0.001091564096780688,2,0.2283305501909219
*CC(*)OC(=O)c1ccccc1C,PI360,1,12,-0.13114940762595884,0.0,1,0.2230611290486528
*CC(*)CCc1ccc(C)cc1,PI282,1,11,0.4445248903023333,0.0,1,0.2536441235022157
*C(c1ccccc1)C(*)[N+](=O)[O-],PI222,1,11,-1.003498032835712,0.0,1,0.1767171577051791
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(c7ccccc7)CC6)cc5)cc4C3=O)cc2)cc1,PI1028,2,61,0.13230393541060884,0.0,1,0.2370572239895869
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(*)C(=O)C7C6C5=O)cc4)cc3)cc2)cc1,PI1068,5,45,0.47836930642011855,0.007546773023438056,4,0.25544212559148605
*c1cccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C4(CC(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc64)CC5(C)C)cc3C2=O)c1,PI986,3,51,-0.6332192868346229,0.0046434969614125585,2,0.19638840736141114
*CC(*)C1CC1,PI20,1,5,-0.07680524234024241,0.0,1,0.2259481909020267
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,PI1032,3,40,0.8765784623953418,0.010605840160855282,3,0.2765971927056083
*CC(*)c1ccc(CC)cc1,PI119,1,10,0.37836384899018627,0.0,1,0.250129284005693
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1054,5,64,-1.7439848126622886,0.01048877075249477,4,0.13737841501357165
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,0.6743986998430128,0.0,1,0.2658562883799982
